studyid,authors,Year,Outcome,Measure,includes_complete_dichotomous,setting,Studygroups,Studygroups_alternative,ITT,LT_arrests_treat,LT_arrests_treat_SD,LT_arrests_treat_n,LT_arrests_cont,LT_arrests_cont_SD,LT_arrests_cont_n,LT_convictions_treat,LT_convictions_treat_n,LT_convictions_cont,LT_convictions_cont_n,mean_age_treat,mean_age_treat_SD,mean_age_cont,mean_age_cont_SD,male_%_treat,male_%_cont,white_%_treat,white_%_cont,bl_pre_period_months,bl_treat_m,bl_treat_sd,bl_treat_median,bl_incidents_treat,bl_person_time_treat,bl_treat_n,bl_cont_m,bl_cont_sd,bl_cont_median,bl_incidents_cont,bl_person_time_cont,bl_cont_n,bl_treat_Dichotomous_%_Yes,bl_treat_Dichotomous_n,bl_cont_Dichotomous_%_Yes,bl_cont_Dichotomous_n,pt_period_months,pt_begins,measured_during_or_post_pt,Program_duration_minimum_months,Program_duration_average_months,Post_program_PT_months_treat,Post_program_PT_months_cont,pt_treat_m,pt_treat_sd,pt_treat_median,pt_incidents_treat,pt_person_time_treat,pt_treat_n,pt_cont_m,pt_cont_sd,pt_cont_median,pt_incidents_cont,pt_person_time_cont,pt_cont_n,pt_treat_Dichotomous_%,pt_treat_Dichotomous_n,pt_cont_Dichotomous_%,pt_cont_Dichotomous_n,mv_notes,charge_level,accepted_violent,reported_accepting_violent,accepts_felons,reported_accepting_felons,reported_charges_expunged,pt_%_program_graduates,pt_program_graduates_n,pt_%_program_terminates,pt_program_terminates_n,pt_treatment_completion_treat_%,pt_treatment_completion_treat_n,pt_treatment_completion_cont_%,pt_treatment_completion_cont_n,source,source_collapsed,source_published,organisation_or_research_group,research_design,stage_of_disposition,reported_single_judge,JOs_presiding_over_hearings_collapsed,report_team_training,report_JO training,report_judge_or_team_training,Average _minutes_review_hearing,report_frequent_team_meetings,reported_sanctions,reported_using_graduated_sanctions,reported_sanctions_or_graduated_sanctions,reported_using_rewards,reported_sanctions_and_rewards,Frequency_review_hearing,frequency_duration,frequent_vs_monthly_rh,frequent_rh_collapsed,reported_measuring_risk_treat,reported_measuring_risk_cont,reported_individualized_treat_treat,reported_individualized_treat_cont,reported_drug_or_alcohol_treatment_treat,reported_drug_or_alcohol_treatment_cont,reported_drug_or_alcohol_testing_treat,reported_drug_or_alcohol_testing_cont,reported_psychiatric_treatment_treat,reported_psychiatric_treatment_cont,reported_counseling_treat,reported_counseling_cont,reported_support_groups_treat,reported_support_groups_ cont,reported_probation_cont,other_treatment_treat,other_treatment_cont,total_treatments_required_treat,total_treatments_required_cont,total_treatments_offered_treat,total_treatments_offered_cont,included_sample_matching,reported_sample_matching,MSMS,overall_robins,ROB_confounding,ROB_participants,ROB_classification,ROB_deviation,ROB_missing,ROB_measurement,ROB_reporting
1,Christy et al.,2005,arrests,mean arrests,No,MHC,standard,None Reported,Not Reported,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,36.36,10.4,37.66,9.63,66.4,60.4,68.1,58,12,1.5,0.89,NR,174,1392,116,2.17,1.5,NR,219.17,1212,101,NR,NR,NR,NR,12,Enrolment,During,NR,NR,NR,NR,1,1.34,NR,116,1392,116,1.4,1.78,NR,141.4,1212,101,48.28,116,56.44,101,,Misdemeanant,No,No,No,No,No,NR,NR,NR,NR,NR,NR,NR,NR,Journal Article,Journal Article,published,None,Quasi-experimental,Not Reported,No,Not Reported,No,No,No,NR,No,No,No,No,No,No,NR,NR,NR,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NR,NR,NR,NR,NR,NR,Yes,Yes,3,critical,critical,serious,low,low,low,low,moderate
2,Alaska Judicial Council,2005,incarceration,Mean days incarcertated,No,DC,standard,None Reported,Graduates/Failures,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,35,NR,34,NR,50,55,73,75,24,151.7,NR,NR,4551,720,30,104,NR,NR,2080,240,20,NR,NR,NR,NR,24,Enrolment,During,12,11.18,12.82,NR,143.9,NR,NR,4317,720,30,208,NR,NR,4160,480,20,NR,NR,NR,NR,,Felon,No,No,Yes,Yes,Yes,33,10,43,13,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,None,Quasi-experimental,Post,Yes,Single judge,No,No,No,NR,Yes,Yes,No,Yes,Yes,Yes,Weekly,whole treatment,frequent,frequent,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,NR,NR,5,NR,5,NR,No,No,3,unrated,unrated,unrated,unrated,unrated,unrated,unrated,unrated
2,Alaska Judicial Council,2005,incarceration,Mean days incarcertated,No,DC,standard,None Reported,Graduates,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,24,142,NR,NR,1420,240,10,NR,NR,NR,2080,NR,NR,NR,NR,NR,NR,24,Enrolment,During,12,14.63,9.37,NR,66,NR,NR,660,240,10,NR,NR,NR,4160,NR,NR,NR,NR,NR,NR,,Felon,No,No,Yes,Yes,Yes,100,10,0,0,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,None,Quasi-experimental,Post,Yes,Single judge,No,No,No,NR,Yes,Yes,No,Yes,Yes,Yes,fortnightly,whole treatment,frequent,frequent,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,NR,NR,5,NR,5,NR,No,No,3,unrated,unrated,unrated,unrated,unrated,unrated,unrated,unrated
2,Alaska Judicial Council,2005,incarceration,Mean days incarcertated,No,DUIC,standard,None Reported,Graduates/Failures,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,37,NR,37,NR,81,76,60,48,24,173.63,NR,NR,12675,1752,73,158,NR,NR,7900,1200,50,NR,NR,NR,NR,24,Enrolment,During,12,9.48,14.52,NR,150.26,NR,NR,10969,1752,73,311,NR,NR,15550,1200,50,NR,NR,NR,NR,,Felon,Yes,Yes,Yes,Yes,No,21,15,33,24,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,None,Quasi-experimental,Post,Yes,Single judge,No,No,No,NR,Yes,Yes,No,Yes,Yes,Yes,Weekly,whole treatment,frequent,frequent,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,probation,NR,6,NR,6,NR,No,No,3,unrated,unrated,unrated,unrated,unrated,unrated,unrated,unrated
2,Alaska Judicial Council,2005,incarceration,Mean days incarcertated,No,DUIC,standard,None Reported,Graduates,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,24,71,NR,NR,1065,360,15,NR,NR,NR,7900,NR,NR,NR,NR,NR,NR,24,Enrolment,During,12,14.6,9.4,NR,31,NR,NR,465,360,15,NR,NR,NR,15550,NR,NR,NR,NR,NR,NR,,Felon,Yes,Yes,Yes,Yes,No,100,15,0,0,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,None,Quasi-experimental,Post,Yes,Single judge,No,No,No,NR,Yes,Yes,No,Yes,Yes,Yes,Weekly,whole treatment,frequent,frequent,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,probation,NR,6,NR,6,NR,No,No,3,unrated,unrated,unrated,unrated,unrated,unrated,unrated,unrated
2,Alaska Judicial Council,2005,incarceration,Mean days incarcertated,No,DC,standard,None Reported,Graduates/Failures,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,32,NR,32,NR,88,97,10,3,24,177.53,NR,NR,9054,1224,51,115,NR,NR,3450,720,30,NR,NR,NR,NR,24,Enrolment,During,12,9.25,14.75,NR,77.31,NR,NR,3943,1224,51,182,NR,NR,5460,720,30,NR,NR,NR,NR,,Felony/Misdemeanor,Yes,Yes,Yes,Yes,Yes,14,7,43,22,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,None,Quasi-experimental,Post,Yes,Single judge,No,No,No,NR,Yes,Yes,No,Yes,Yes,Yes,Weekly,whole treatment,frequent,frequent,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,NR,NR,6,NR,6,NR,No,No,3,unrated,unrated,unrated,unrated,unrated,unrated,unrated,unrated
2,Alaska Judicial Council,2005,incarceration,Mean days incarcertated,No,DC,standard,None Reported,Graduates,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,24,140,NR,NR,980,168,7,NR,NR,NR,3450,NR,NR,NR,NR,NR,NR,24,Enrolment,During,12,15.32,8.68,NR,7,NR,NR,49,168,7,NR,NR,NR,5460,NR,NR,NR,NR,NR,NR,,Felony/Misdemeanor,Yes,Yes,Yes,Yes,Yes,100,7,0,0,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,None,Quasi-experimental,Post,Yes,Single judge,No,No,No,NR,Yes,Yes,No,Yes,Yes,Yes,fortnightly,whole treatment,frequent,frequent,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,NR,NR,6,NR,6,NR,No,No,3,unrated,unrated,unrated,unrated,unrated,unrated,unrated,unrated
2,Alaska Judicial Council,2005,remand,mean remands,No,DC,standard,None Reported,Graduates/Failures,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,35,NR,34,NR,50,55,73,75,24,2.72,NR,NR,81.6,720,30,2.4,NR,NR,45.6,456,19,NR,NR,NR,NR,24,Enrolment,During,12,11.18,12.82,NR,2.52,NR,NR,75.5,720,30,1.9,NR,NR,36.1,456,19,NR,NR,NR,NR,,Felon,No,No,Yes,Yes,Yes,33,10,43,13,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,None,Quasi-experimental,Post,Yes,Single judge,No,No,No,NR,Yes,Yes,No,Yes,Yes,Yes,Weekly,whole treatment,frequent,frequent,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,NR,NR,5,NR,5,NR,No,No,3,unrated,unrated,unrated,unrated,unrated,unrated,unrated,unrated
2,Alaska Judicial Council,2005,remand,mean remands,No,DC,standard,None Reported,Graduates,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,24,2.5,NR,NR,25,240,10,NR,NR,NR,45.6,NR,NR,NR,NR,NR,NR,24,Enrolment,During,12,14.63,9.37,NR,0.8,NR,NR,8,240,10,NR,NR,NR,36.1,NR,NR,NR,NR,NR,NR,,Felon,No,No,Yes,Yes,Yes,100,10,0,0,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,None,Quasi-experimental,Post,Yes,Single judge,No,No,No,NR,Yes,Yes,No,Yes,Yes,Yes,fortnightly,whole treatment,frequent,frequent,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,NR,NR,5,NR,5,NR,No,No,3,unrated,unrated,unrated,unrated,unrated,unrated,unrated,unrated
2,Alaska Judicial Council,2005,remand,mean remands,No,DUIC,standard,None Reported,Graduates/Failures,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,37,NR,37,NR,81,76,60,48,24,2.79,NR,NR,203.4,1752,73,3.1,NR,NR,164.3,1272,53,NR,NR,NR,NR,24,Enrolment,During,12,9.48,14.52,NR,1.81,NR,NR,132,1752,73,2.1,NR,NR,111.3,1272,53,NR,NR,NR,NR,,Felon,Yes,Yes,Yes,Yes,No,21,15,33,24,NR,NR,NR,NR,Evaluation,Evaluation,unpublished,None,Quasi-experimental,Post,Yes,Single judge,No,No,No,NR,Yes,Yes,No,Yes,Yes,Yes,Weekly,whole treatment,frequent,frequent,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,probation,NR,6,NR,6,NR,No,No,3,unrated,unrated,unrated,unrated,unrated,unrated,unrated,unrated
